#At time x allocated y bytes for process z from i to j
At time 2 allocated 1000 bytes for process 1 from 0 to 999
At time 10 freed 1000 bytes from process 1 from 0 to 999
At time 10 allocated 60 bytes for process 2 from 0 to 59
At time 10 allocated 30 bytes for process 3 from 60 to 89
At time 10 allocated 27 bytes for process 4 from 90 to 116
At time 10 allocated 32 bytes for process 5 from 117 to 148
At time 12 freed 32 bytes from process 5 from 117 to 148
At time 15 freed 60 bytes from process 2 from 0 to 59
At time 18 freed 30 bytes from process 3 from 60 to 89
At time 23 freed 27 bytes from process 4 from 90 to 116
